Item,Nett,Gross,Markup
Hours (Repro),658.56,1027,56
Dubuit (Silkscreen positive),298,373,25
K9 (Silkscreen positive),298,373,25
OMSOx1: 100 x 270 (Plate),570,889,56
OMSOx1: 135 x 270 (Plate),715,1115,56
PAD Print: Not required,675,1053,56
HKx1:100-120mm (155mm plate),953.34,1487,56
HKx1:130-150mm (183mm plate),1100.11,1533,56
HKx1:150-180mm (208mm plate),1233.04,1294,56
Barcode,115,192,67
PDF (Artwork),35,55,57
DTP (Design and F/A),780,780,0
Pre-press for Tiff files,784,1223,56
Epson proof / Chromalin,212,700,330
Foil Block,0,0,56